time_id,impl_id,n_tiling_levels_rows,n_tiling_cols,actual_cpu_clock,max_cpu_clock,retired_instructions,cpu_clocks_unhalted,data_cache_accesses,data_cache_refills_all,runtime,runtime_unhalted,clock,cpi,data_cache_requests,data_cache_request_rate,data_cache_misses,data_cache_miss_rate,data_cache_miss_ratio
time_apply,linear_stencil_tiling,256,4,172732000000,139554900000,20659420000,160686500000,46781920000,16998680000,59.3848,73.5031,2908.6718,7.7779,46781920000,2.2644,16998680000,0.8228,0.3634
time_apply,linear_stencil_tiling,256,8,146633000000,114241400000,16886560000,134895900000,37014930000,12246410000,48.6272,62.3971,3016.3053,7.9884,37014930000,2.1920,12246410000,0.7252,0.3309
time_apply,linear_stencil_tiling,256,16,97415770000,80126580000,15000110000,86789820000,31872960000,7557597000,34.0987,41.4536,2857.0614,5.7859,31872960000,2.1248,7557597000,0.5038,0.2371
time_apply,linear_stencil_tiling,256,32,95849400000,76524260000,14056890000,83609120000,20069500000,3116392000,32.5623,40.7872,2943.4462,5.9479,20069500000,1.4277,3116392000,0.2217,0.1553
time_apply,linear_stencil_tiling,256,64,93200350000,72880070000,13585280000,81486240000,18472560000,2301524000,31.0123,39.6720,3004.2937,5.9981,18472560000,1.3597,2301524000,0.1694,0.1246
time_apply,linear_stencil_tiling,256,128,76358640000,60930980000,13349470000,64725150000,17185110000,1772839000,25.9296,32.4931,2945.0110,4.8485,17185110000,1.2873,1772839000,0.1328,0.1032
time_apply,linear_stencil_tiling,256,256,58230660000,47008600000,13231560000,46837850000,16280930000,1396941000,20.0033,24.7791,2910.9848,3.5399,16280930000,1.2305,1396941000,0.1056,0.0858
time_apply,linear_stencil_tiling,256,512,47367380000,38244640000,13172600000,36084730000,15844850000,1183481000,16.2741,20.1577,2910.3606,2.7394,15844850000,1.2029,1183481000,0.0898,0.0747
time_apply,linear_stencil_tiling,256,1024,39912130000,32400690000,13143120000,28673490000,15358560000,799517800,13.7873,16.9839,2894.7904,2.1816,15358560000,1.1686,799517800,0.0608,0.0521
time_apply,linear_stencil_tiling,256,2048,37001600000,29901510000,13128380000,25732310000,15159240000,686186400,12.7226,15.7454,2907.9897,1.9601,15159240000,1.1547,686186400,0.0523,0.0453
time_apply,linear_stencil_tiling,256,4096,36266200000,28708580000,13121010000,24765850000,15093490000,637514300,12.2162,15.4331,2968.5098,1.8875,15093490000,1.1503,637514300,0.0486,0.0422
time_apply,linear_stencil_tiling,256,8192,34942670000,28049840000,13117330000,23819530000,15026110000,605473400,11.9357,14.8692,2927.4720,1.8159,15026110000,1.1455,605473400,0.0462,0.0403
time_apply,linear_stencil_tiling,256,16384,36224800000,28561180000,13115480000,25126270000,15080440000,656848200,12.1550,15.4148,2980.5516,1.9158,15080440000,1.1498,656848200,0.0501,0.0436
time_apply,linear_stencil_tiling,256,32768,36533460000,28856790000,13114560000,25380920000,15043980000,654783200,12.2787,15.5462,2975.1533,1.9353,15043980000,1.1471,654783200,0.0499,0.0435
time_apply,linear_stencil_tiling,256,65536,32170600000,27090480000,13114100000,22390450000,14670800000,361678900,11.5276,13.6897,2790.6668,1.7074,14670800000,1.1187,361678900,0.0276,0.0247
